season,player_id,games,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,fantasy_points,fantasy_points_ppr,calculated_points,position,passing_yards_per_game,passing_tds_per_game,interceptions_per_game,rushing_yards_per_game,rushing_tds_per_game,receptions_per_game,targets_per_game,receiving_yards_per_game,receiving_tds_per_game,fantasy_points_per_game,calculated_points_per_game
2017,00-0024417,2,38.0,0,0.0,0.0,0,0,0,0.0,0,1.52,1.52,1.52,PN,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.76
2018,00-0024417,1,21.0,0,0.0,0.0,0,0,0,0.0,0,0.84,0.84,0.84,PN,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.84
2019,00-0024417,1,-2.0,0,0.0,0.0,0,0,0,0.0,0,-0.08,-0.08,-0.08,PN,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,-0.08
2020,00-0024417,1,15.0,0,0.0,0.0,0,0,0,0.0,0,0.6,0.6,0.6,PN,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6
2021,00-0024417,1,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,PN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,00-0024535,3,0.0,0,0.0,0.0,0,1,2,5.0,0,0.5,1.5,1.0,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.0,0.16666666666666666,0.3333333333333333
2017,00-0025394,10,0.0,0,0.0,529.0,2,11,19,70.0,0,67.9,78.9,77.4,RB,0.0,0.0,0.0,52.9,0.2,1.1,1.9,7.0,0.0,6.790000000000001,7.74
2018,00-0025394,16,0.0,0,0.0,1042.0,7,20,26,208.0,1,169.0,189.0,183.0,RB,0.0,0.0,0.0,65.125,0.4375,1.25,1.625,13.0,0.0625,10.5625,11.4375
2019,00-0025394,15,0.0,0,0.0,898.0,5,17,23,142.0,0,130.0,147.0,142.5,RB,0.0,0.0,0.0,59.86666666666667,0.3333333333333333,1.1333333333333333,1.5333333333333334,9.466666666666667,0.0,8.666666666666666,9.5
2020,00-0025394,16,0.0,0,0.0,604.0,7,12,18,101.0,0,112.5,124.5,118.5,RB,0.0,0.0,0.0,37.75,0.4375,0.75,1.125,6.3125,0.0,7.03125,7.40625
2021,00-0025394,4,0.0,0,0.0,98.0,2,4,4,8.0,0,22.6,26.6,24.6,RB,0.0,0.0,0.0,24.5,0.5,1.0,1.0,2.0,0.0,5.65,6.15
2017,00-0025396,15,0.0,0,0.0,39.0,0,53,70,787.0,4,106.60000000000001,159.6,133.10000000000002,WR,0.0,0.0,0.0,2.6,0.0,3.533333333333333,4.666666666666667,52.46666666666667,0.26666666666666666,7.106666666666667,8.873333333333335
2018,00-0025396,5,0.0,0,0.0,26.0,0,17,30,209.0,2,35.5,52.5,44.0,WR,0.0,0.0,0.0,5.2,0.0,3.4,6.0,41.8,0.4,7.1,8.8
2019,00-0025396,15,0.0,0,0.0,18.0,0,30,56,421.0,2,55.900000000000006,85.9,70.9,WR,0.0,0.0,0.0,1.2,0.0,2.0,3.7333333333333334,28.066666666666666,0.13333333333333333,3.726666666666667,4.7266666666666675
2020,00-0025396,3,0.0,0,0.0,0.0,0,3,6,40.0,0,4.0,7.0,5.5,WR,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.333333333333334,0.0,1.3333333333333333,1.8333333333333333
2017,00-0025399,15,0.0,0,0.0,891.0,7,20,31,151.0,0,144.20000000000002,164.20000000000002,156.20000000000002,RB,0.0,0.0,0.0,59.4,0.4666666666666667,1.3333333333333333,2.066666666666667,10.066666666666666,0.0,9.613333333333335,10.413333333333334
2018,00-0025399,6,0.0,0,0.0,376.0,3,15,20,84.0,0,64.0,79.0,71.5,RB,0.0,0.0,0.0,62.666666666666664,0.5,2.5,3.3333333333333335,14.0,0.0,10.666666666666666,11.916666666666666
2019,00-0025399,1,0.0,0,0.0,34.0,1,0,0,0.0,0,9.4,9.4,9.4,RB,0.0,0.0,0.0,34.0,1.0,0.0,0.0,0.0,0.0,9.4,9.4
2018,00-0025415,1,0.0,0,0.0,0.0,0,1,1,-5.0,0,-0.5,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-5.0,0.0,-0.5,0.0
2017,00-0025418,7,0.0,0,0.0,0.0,0,17,38,191.0,1,25.1,42.1,33.6,TE,0.0,0.0,0.0,0.0,0.0,2.4285714285714284,5.428571428571429,27.285714285714285,0.14285714285714285,3.585714285714286,4.8
2018,00-0025418,9,0.0,0,0.0,0.0,0,27,38,291.0,4,53.1,80.10000000000001,66.6,TE,0.0,0.0,0.0,0.0,0.0,3.0,4.222222222222222,32.333333333333336,0.4444444444444444,5.9,7.3999999999999995
2019,00-0025418,14,0.0,0,0.0,0.0,0,52,82,597.0,2,71.7,123.7,97.7,TE,0.0,0.0,0.0,0.0,0.0,3.7142857142857144,5.857142857142857,42.642857142857146,0.14285714285714285,5.121428571428572,6.978571428571429
2020,00-0025418,11,0.0,0,0.0,0.0,0,24,37,239.0,1,29.900000000000002,53.900000000000006,41.900000000000006,TE,0.0,0.0,0.0,0.0,0.0,2.1818181818181817,3.3636363636363638,21.727272727272727,0.09090909090909091,2.7181818181818183,3.8090909090909095
2017,00-0025430,5,894.0,6,5.0,7.0,0,0,0,0.0,0,50.459999999999994,50.459999999999994,70.46,QB,178.8,1.2,1.0,1.4,0.0,0.0,0.0,0.0,0.0,10.091999999999999,14.091999999999999
